"names", bIIItubulin,DAPI_2nd,DAPI_3rd,GABA,GAD2,gephyrin,NR1,PSDr,synapsin,VGAT,VGluT1,EM10K
"colors","blue","blue","blue",'red','red','red','red','green','green','green','green','white'
"means", 2120026.746139,2686957.62644788,46766648.1785714,1101000.8523166,1331875.71911197,915686.36969112,1261989.15540541,1855327.04343629,1423556.34266409,2172907.91698842,1396392.87548263,0
"sds", 848444.631131951,684917.953013304,12179279.1546667,939867.33033543,489776.527774995,297608.227070535,414711.245145589,540216.915100246,640829.535445167,1262993.07182892,524801.872574875,NA
"F0min",,,,,,,,,,,, 
"F0max",,,,,,,,,,,, 
